label,method,url,proto,sample,http_code,http_version,remote_ip,local_ip,time_namelookup,time_connect,time_appconnect,time_pretransfer,time_starttransfer,time_total,exit_code
api_models,GET,https://api.openai.com/v1/models,h1,1,401,1.1,162.159.140.245,10.2.112.254,0.002491,0.008931,0.021496,0.021530,0.107570,0.107772,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h1,1,401,1.1,162.159.140.245,10.2.112.254,0.002546,0.081372,0.099053,0.099099,0.166593,0.166784,0
api_responses,POST,https://api.openai.com/v1/responses,h1,1,401,1.1,162.159.140.245,10.2.112.254,0.002549,0.010362,0.023702,0.023731,0.089723,0.089945,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h1,1,401,1.1,162.159.140.245,10.2.112.254,0.002450,0.009272,0.022800,0.022829,0.094064,0.094287,0
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,h1,1,401,1.1,162.159.140.245,10.2.112.254,0.002360,0.010273,0.027152,0.027179,0.187987,0.188205,0
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,h1,1,401,1.1,162.159.140.245,10.2.112.254,0.002595,0.011505,0.026234,0.026272,0.101814,0.102059,0
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,h1,1,401,1.1,172.64.155.209,10.2.112.254,0.007047,0.015374,0.028848,0.028876,0.071506,0.071692,0
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,h1,1,401,1.1,172.64.155.209,10.2.112.254,0.002662,0.010706,0.024018,0.024052,0.066046,0.066275,0
openai_status,GET,https://status.openai.com/api/v2/summary.json,h1,1,200,1.1,76.76.21.22,10.2.112.254,0.003019,0.008721,0.021914,0.021939,0.234782,0.241548,0
api_models,GET,https://api.openai.com/v1/models,h2,1,401,2,162.159.140.245,10.2.112.254,0.003812,0.011427,0.024700,0.024769,0.088253,0.088480,0
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,h2,1,401,2,162.159.140.245,10.2.112.254,0.002749,0.011506,0.024800,0.024872,0.094807,0.094995,0
api_responses,POST,https://api.openai.com/v1/responses,h2,1,401,2,162.159.140.245,10.2.112.254,0.002346,0.010341,0.022978,0.023039,0.091751,0.091983,0
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,h2,1,401,2,162.159.140.245,10.2.112.254,0.003665,0.012403,0.109958,0.110082,0.187738,0.187997,0
