protocol,sample,remote_ip,http_version,http_code,time_namelookup,time_connect,time_appconnect,time_starttransfer,time_total,exitcode,errormsg
http2,1,162.159.140.245,2,401,0.002098,0.077191,0.092751,0.171104,0.171192,0,
http2,2,162.159.140.245,2,401,0.002572,0.009280,0.022321,0.107022,0.107090,0,
http2,3,162.159.140.245,2,401,0.002104,0.009685,0.021154,0.088083,0.088149,0,
http2,4,162.159.140.245,2,401,0.002088,0.008986,0.021296,0.174280,0.174550,0,
http2,5,162.159.140.245,2,401,0.003779,0.013226,0.025513,0.096805,0.096883,0,
http1.1,1,162.159.140.245,1.1,401,0.002556,0.010303,0.023513,0.092608,0.092651,0,
http1.1,2,162.159.140.245,1.1,401,0.002633,0.009730,0.021432,0.094966,0.095016,0,
http1.1,3,162.159.140.245,1.1,401,0.002990,0.011381,0.024984,0.154699,0.154767,0,
http1.1,4,162.159.140.245,1.1,401,0.002416,0.010139,0.024007,0.095896,0.095958,0,
http1.1,5,162.159.140.245,1.1,401,0.004365,0.011885,0.025689,0.104358,0.104419,0,
http3,1,162.159.140.245,3,401,0.003747,0.018136,0.019367,0.087430,0.087517,0,
http3,2,162.159.140.245,3,401,0.003430,0.016917,0.018145,0.128726,0.128827,0,
http3,3,162.159.140.245,3,401,0.004245,0.018873,0.020149,0.098138,0.098218,0,
http3,4,162.159.140.245,3,401,0.002680,0.003587,0.024782,0.105846,0.105929,0,
http3,5,162.159.140.245,3,401,0.002278,0.004380,0.017117,0.087989,0.088072,0,
