label,method,url,http_code,remote_ip,http_version,time_total,exit_code,error
api_models,GET,https://api.openai.com/v1/models,401,172.66.0.243,2,0.095306,0,
api_chat_completions,POST,https://api.openai.com/v1/chat/completions,401,172.66.0.243,2,0.104652,0,
api_chat_completions_list,GET,https://api.openai.com/v1/chat/completions,401,172.66.0.243,2,0.144783,0,
api_responses,POST,https://api.openai.com/v1/responses,401,172.66.0.243,2,0.108465,0,
api_responses_ws_path_get,GET,https://api.openai.com/v1/responses,401,172.66.0.243,2,0.104578,0,
api_responses_compact,POST,https://api.openai.com/v1/responses/compact,401,172.66.0.243,2,0.102397,0,
api_responses_input_tokens,POST,https://api.openai.com/v1/responses/input_tokens,401,172.66.0.243,2,0.195688,0,
api_response_get,GET,https://api.openai.com/v1/responses/resp_probe,401,172.66.0.243,2,0.103465,0,
api_response_input_items,GET,https://api.openai.com/v1/responses/resp_probe/input_items,401,172.66.0.243,2,0.106300,0,
api_realtime_calls,POST,https://api.openai.com/v1/realtime/calls,401,172.66.0.243,2,0.148366,0,
api_realtime_sessions,POST,https://api.openai.com/v1/realtime/sessions,401,172.66.0.243,2,0.106680,0,
chatgpt_backend_root,GET,https://chatgpt.com/backend-api,403,172.64.155.209,2,0.036961,0,
chatgpt_codex_models,GET,https://chatgpt.com/backend-api/codex/models,401,172.64.155.209,2,0.062343,0,
chatgpt_codex_responses,POST,https://chatgpt.com/backend-api/codex/responses,401,172.64.155.209,2,0.068332,0,
chatgpt_codex_compact,POST,https://chatgpt.com/backend-api/codex/responses/compact,401,172.64.155.209,2,0.144015,0,
chatgpt_codex_realtime_calls,POST,https://chatgpt.com/backend-api/codex/realtime/calls,401,172.64.155.209,2,0.222339,0,
chatgpt_wham_environments,GET,https://chatgpt.com/backend-api/wham/environments,401,172.64.155.209,2,0.063848,0,
chatgpt_wham_agent_jwks,GET,https://chatgpt.com/backend-api/wham/agent-identities/jwks,200,172.64.155.209,2,0.063118,0,
chatgpt_wham_apps,GET,https://chatgpt.com/backend-api/wham/apps,405,172.64.155.209,2,0.153731,0,
